"Año","Cantidad","Sector Económico","Estados empresas","Cantidad de empleos","Activos (Miles)"
"2.002","0","Agropecuarias","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","0","Minas y canteras","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","2","Manufactureras","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","0","Electricidad, Gas y vapor","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","1","Construcción","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","3","Comercio","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","0","Transporte, Comunicaciones","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","1","Seguros y Finanzas","Cambio de Domicilio, empresas que se fueron de Sabaneta","248","16.847.200"
"2.002","7","Agropecuarias","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","0","Minas y canteras","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","51","Manufactureras","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","2","Electricidad, Gas y vapor","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","5","Construcción","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","210","Comercio","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","0","Transporte, Comunicaciones","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","9","Seguros y Finanzas","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","27","Servicios","Empresas Canceladas (Personas Naturales y Establecimientos de Comercio)","687","117.353.400"
"2.002","11","Agropecuarias","Sociedades Renovadas","10.143","910.881.000"
"2.002","1","Minas y canteras","Sociedades Renovadas","10.143","910.881.000"
"2.002","137","Manufactureras","Sociedades Renovadas","10.143","910.881.000"
"2.002","0","Electricidad, Gas y vapor","Sociedades Renovadas","10.143","910.881.000"
"2.002","38","Construcción","Sociedades Renovadas","10.143","910.881.000"
"2.002","86","Comercio","Sociedades Renovadas","10.143","910.881.000"
"2.002","22","Transporte, Comunicaciones","Sociedades Renovadas","10.143","910.881.000"
